"No.","Time","Source","Source Port","Destination","Destination Port","Protocol","Length","Info"
"1","2020-06-06 13:36:39,925532","fe80::a179:b3ff:199:2314","52918","ff02::1:3","llmnr","LLMNR","86","Standard query 0x92f6 A isatap"
"2","2020-06-06 13:36:39,925636","192.168.100.121","65275","224.0.0.252","llmnr","LLMNR","66","Standard query 0x92f6 A isatap"
"3","2020-06-06 13:36:39,927074","52:54:00:4a:04:af","","Broadcast","","ARP","42","Who has 192.168.100.2? Tell 192.168.100.121"
"4","2020-06-06 13:36:39,927134","52:54:00:36:3e:ff","","52:54:00:4a:04:af","","ARP","42","192.168.100.2 is at 52:54:00:36:3e:ff"
"5","2020-06-06 13:36:39,972829","52:54:00:36:3e:ff","","52:54:00:4a:04:af","","ARP","42","Who has 192.168.100.121? Tell 192.168.100.2"
"6","2020-06-06 13:36:39,972931","52:54:00:4a:04:af","","52:54:00:36:3e:ff","","ARP","42","192.168.100.121 is at 52:54:00:4a:04:af"
"7","2020-06-06 13:36:40,034383","fe80::a179:b3ff:199:2314","52918","ff02::1:3","llmnr","LLMNR","86","Standard query 0x92f6 A isatap"
"8","2020-06-06 13:36:40,034437","192.168.100.121","65275","224.0.0.252","llmnr","LLMNR","66","Standard query 0x92f6 A isatap"
"9","2020-06-06 13:36:40,128128","192.168.100.121","netbios-ns","192.168.100.255","netbios-ns","NBNS","110","Registration NB WORKGROUP<1e>"
"10","2020-06-06 13:36:40,237632","192.168.100.121","netbios-ns","192.168.100.255","netbios-ns","NBNS","92","Name query NB ISATAP<00>"
"11","2020-06-06 13:36:40,552536","fe:54:00:b9:4c:39","","Spanning-tree-(for-bridges)_00","","STP","52","Conf. TC + Root = 32768/0/52:54:00:2f:9e:49  Cost = 0  Port = 0x8003"
"12","2020-06-06 13:36:40,878599","192.168.100.121","netbios-dgm","192.168.100.255","netbios-dgm","BROWSER","220","Request Announcement USER-PC"
"13","2020-06-06 13:36:40,908206","192.168.100.121","netbios-dgm","192.168.100.255","netbios-dgm","BROWSER","243","Host Announcement USER-PC, Workstation, Server, NT Workstation, Potential Browser"
"14","2020-06-06 13:36:40,987575","192.168.100.121","netbios-ns","192.168.100.255","netbios-ns","NBNS","92","Name query NB ISATAP<00>"
