No.,Time,Source,Destination,Length,Protocol,Info,Attack
1,"2025-06-04 06:50:14,712857",162.159.136.234,Asus.local,96,TLSv1.2,Application Data,0
2,"2025-06-04 06:50:14,743034",Asus.local,224.77.77.77,155,UDP,63661  >  12177 Len=113,0
3,"2025-06-04 06:50:14,758605",Asus.local,162.159.136.234,54,TCP,49965  >  https(443) [ACK] Seq=1 Ack=43 Win=255 Len=0,0
4,"2025-06-04 06:50:15,307465",Asus.local,180.250.245.142,99,DNS,Standard query 0xd2b2 PTR 234.136.159.162.in-addr.arpa OPT,0
5,"2025-06-04 06:50:15,307578",Asus.local,180.250.245.142,96,DNS,Standard query 0x62dc PTR 18.1.168.192.in-addr.arpa OPT,0
6,"2025-06-04 06:50:15,307648",Asus.local,180.250.245.142,96,DNS,Standard query 0xd4d0 PTR 77.77.77.224.in-addr.arpa OPT,0
7,"2025-06-04 06:50:15,324075",180.250.245.142,Asus.local,173,DNS,Standard query response 0x62dc No such name PTR 18.1.168.192.in-addr.arpa SOA prisoner.iana.org OPT,0
8,"2025-06-04 06:50:15,362618",180.250.245.142,Asus.local,161,DNS,Standard query response 0xd2b2 No such name PTR 234.136.159.162.in-addr.arpa SOA cruz.ns.cloudflare.com OPT,0
9,"2025-06-04 06:50:15,631446",180.250.245.142,Asus.local,153,DNS,Standard query response 0xd4d0 No such name PTR 77.77.77.224.in-addr.arpa SOA sns.dns.icann.org OPT,0
10,"2025-06-04 06:50:16,262833",Asus.local,180.250.245.142,99,DNS,Standard query 0xf688 PTR 142.245.250.180.in-addr.arpa OPT,0
11,"2025-06-04 06:50:16,336722",180.250.245.142,Asus.local,99,DNS,Standard query response 0xf688 Server failure PTR 142.245.250.180.in-addr.arpa OPT,0
12,"2025-06-04 06:50:16,361041",BilianElectr_0a:d5:f9,Broadcast,42,ARP,Who has 192.168.1.1? Tell 192.168.1.6,0
13,"2025-06-04 06:50:16,753580",Asus.local,224.77.77.77,155,UDP,63661  >  12177 Len=113,0
14,"2025-06-04 06:50:17,286483",Asus.local,180.250.245.142,95,DNS,Standard query 0x0be9 PTR 6.1.168.192.in-addr.arpa OPT,0
15,"2025-06-04 06:50:17,286692",Asus.local,180.250.245.133,99,DNS,Standard query 0xf688 PTR 142.245.250.180.in-addr.arpa OPT,0
16,"2025-06-04 06:50:17,304551",180.250.245.142,Asus.local,172,DNS,Standard query response 0x0be9 No such name PTR 6.1.168.192.in-addr.arpa SOA prisoner.iana.org OPT,0
17,"2025-06-04 06:50:17,520820",180.250.245.133,Asus.local,99,DNS,Standard query response 0xf688 Server failure PTR 142.245.250.180.in-addr.arpa OPT,0
18,"2025-06-04 06:50:17,588746",Asus.local,45.224.186.35.bc.googleusercontent.com,97,TLSv1.2,Application Data,0
19,"2025-06-04 06:50:17,608140",45.224.186.35.bc.googleusercontent.com,Asus.local,56,TCP,https(443)  >  51581 [ACK] Seq=1 Ack=44 Win=1048 Len=0,0
