dttl;sload;dload;sloss;dloss;sinpkt;dinpkt;sjit;djit;swin;stcpb;dtcpb;dwin;tcprtt;synack;ackdat;smean;dmean;trans_depth;response_body_len;ct_srv_src;ct_state_ttl;ct_dst_ltm;ct_src_dport_ltm;ct_dst_sport_ltm;ct_dst_src_ltm;is_ftp_login;ct_ftp_cmd;ct_flw_http_mthd;ct_src_ltm;ct_srv_dst;is_sm_ips_ports;attack_cat;label
0;180363632;0;0;0;11;0;0;0;0;0;0;0;0;0;0;248;0;0;0;2;2;1;1;1;2;0;0;0;1;2;0;Normal;0
0;881000000;0;0;0;8;0;0;0;0;0;0;0;0;0;0;881;0;0;0;2;2;1;1;1;2;0;0;0;1;2;0;Normal;0
0;854400000;0;0;0;5;0;0;0;0;0;0;0;0;0;0;534;0;0;0;3;2;1;1;1;3;0;0;0;1;3;0;Normal;0
0;600000000;0;0;0;6;0;0;0;0;0;0;0;0;0;0;450;0;0;0;3;2;2;2;1;3;0;0;0;2;3;0;Normal;0
0;850400000;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1063;0;0;0;3;2;2;2;1;3;0;0;0;2;3;0;Normal;0
0;1045333312;0;0;0;3;0;0;0;0;0;0;0;0;0;0;392;0;0;0;2;2;2;2;1;2;0;0;0;2;2;0;Normal;0
0;1306666624;0;0;0;6;0;0;0;0;0;0;0;0;0;0;980;0;0;0;2;2;2;2;1;2;0;0;0;2;2;0;Normal;0
0;197714288;0;0;0;28;0;0;0;0;0;0;0;0;0;0;692;0;0;0;3;2;1;1;1;3;0;0;0;1;3;0;Normal;0
0;0;0;0;0;60000688;0;0;0;0;0;0;0;0;0;0;46;0;0;0;2;2;2;2;2;2;0;0;0;2;2;1;Normal;0
0;0;0;0;0;60000712;0;0;0;0;0;0;0;0;0;0;46;0;0;0;2;2;2;2;2;2;0;0;0;2;2;1;Normal;0
0;0;0;0;0;60000688;0;0;0;0;0;0;0;0;0;0;46;0;0;0;2;2;2;2;2;2;0;0;0;2;2;1;Normal;0
0;0;0;0;0;60000712;0;0;0;0;0;0;0;0;0;0;46;0;0;0;2;2;2;2;2;2;0;0;0;2;2;1;Normal;0
0;1454000000;0;0;0;4;0;0;0;0;0;0;0;0;0;0;727;0;0;0;3;2;1;1;1;3;0;0;0;1;3;0;Normal;0
0;1178285696;0;0;0;7;0;0;0;0;0;0;0;0;0;0;1031;0;0;0;3;2;1;1;1;3;0;0;0;1;3;0;Normal;0
0;741818176;0;0;0;11;0;0;0;0;0;0;0;0;0;0;1020;0;0;0;1;2;1;1;1;1;0;0;0;1;1;0;Normal;0
0;1052000000;0;0;0;4;0;0;0;0;0;0;0;0;0;0;526;0;0;0;3;2;1;1;1;3;0;0;0;2;3;0;Normal;0
0;418666656;0;0;0;3;0;0;0;0;0;0;0;0;0;0;157;0;0;0;2;2;1;1;1;2;0;0;0;1;2;0;Normal;0
0;709600000;0;0;0;1;0;0;0;0;0;0;0;0;0;0;887;0;0;0;2;2;1;1;1;2;0;0;0;1;2;0;Normal;0
0;3136000000;0;0;0;2;0;0;0;0;0;0;0;0;0;0;784;0;0;0;3;2;1;1;1;2;0;0;0;1;2;0;Normal;0
0;2054000000;0;0;0;4;0;0;0;0;0;0;0;0;0;0;1027;0;0;0;3;2;1;1;1;2;0;0;0;2;2;0;Normal;0
0;868000000;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1085;0;0;0;2;2;1;1;1;2;0;0;0;1;2;0;Normal;0
0;89777776;0;0;0;9;0;0;0;0;0;0;0;0;0;0;101;0;0;0;2;2;1;1;1;2;0;0;0;1;2;0;Normal;0
0;533600000;0;0;0;1;0;0;0;0;0;0;0;0;0;0;667;0;0;0;3;2;1;1;1;3;0;0;0;1;3;0;Normal;0
0;1646400000;0;0;0;5;0;0;0;0;0;0;0;0;0;0;1029;0;0;0;3;2;2;2;1;3;0;0;0;2;3;0;Normal;0
0;381333312;0;0;0;3;0;0;0;0;0;0;0;0;0;0;143;0;0;0;3;2;2;2;1;3;0;0;0;2;3;0;Normal;0
0;857142848;0;0;0;7;0;0;0;0;0;0;0;0;0;0;750;0;0;0;2;2;2;2;1;2;0;0;0;2;2;0;Normal;0
0;601333312;0;0;0;6;0;0;0;0;0;0;0;0;0;0;451;0;0;0;2;2;2;2;1;2;0;0;0;2;2;0;Normal;0
0;3252000000;0;0;0;2;0;0;0;0;0;0;0;0;0;0;813;0;0;0;2;2;1;1;1;1;0;0;0;2;1;0;Normal;0
0;208000000;0;0;0;7;0;0;0;0;0;0;0;0;0;0;182;0;0;0;3;2;1;1;1;1;0;0;0;2;2;0;Normal;0
252;2660780029;1249506714;2;1;151243111;270886813;100428699;468508156;255;1640845588;177111456;255;148966;79731;69235;53;45;0;0;2;1;1;1;1;1;0;0;0;1;1;0;Normal;0
0;417142848;0;0;0;7;0;0;0;0;0;0;0;0;0;0;365;0;0;0;2;2;1;1;1;2;0;0;0;2;2;0;Normal;0
252;1983072266;1288789062;2;1;213738778;261252;1312511139;399405156;255;2214319888;3374287000;255;185096;95516;8958;53;44;0;0;2;1;1;1;1;1;0;0;0;1;1;0;Normal;0
